,Restuarantid,Restaurant,Restaurant_Type,Price,Cuisine,Location,Area,Link,Timing,Dining_Review,Dining_Rating,Delivery_Rating,Delivery_Review
0,1,Öz by Kebapci,"Turkish, Mediterranean, Middle Eastern",1800,Turkish," UB City, Bangalore",UB City,https://www.zomato.com/bangalore/öz-by-kebapci-lavelle-road-bangalore/info,12:30pm – 12:30am (Today),819,4.5,0.0,0
1,2,Over Coffee Cafe & Wine Bar,"European, Italian, Continental, Cafe, Coffee",1200,European," Lavelle Road, Bangalore",Lavelle Road,https://www.zomato.com/bangalore/over-coffee-cafe-wine-bar-lavelle-road-bangalore/info,Opens tomorrow at 12noon,560,4.7,3.9,19
2,3,Babylonia - Global Food & Cocktails,"Continental, North Indian, Asian, Italian, Mughlai, Mediterranean, Bar Food, Desserts",1500,Continental," Koramangala 7th Block, Bangalore",Koramangala 7th Block,https://www.zomato.com/bangalore/babylonia-global-food-cocktails-koramangala-7th-block-bangalore/info,12noon – 12:30am (Today),1203,4.5,3.5,26
3,4,Oney Brewhouse,"American, Continental, Italian, South Indian, North Indian, Asian, Chinese",1500,American," Cunningham Road, Bangalore",Cunningham Road,https://www.zomato.com/bangalore/oney-brewhouse-cunningham-road-bangalore/info,12noon – 12midnight (Today),231,4.1,0.0,0
4,5,Homiga,"Korean, Asian",1500,Korean," Forum Rex Walk, Bangalore",Forum Rex Walk,https://www.zomato.com/bangalore/homiga-brigade-road-bangalore/info,"24 Hours, 12:30pm – 4:30pm, 6:30pm – 12midnight (Today)",207,4.4,0.0,0
5,6,Flo,"Asian, Thai, Continental, Finger Food, Sushi, Desserts, Beverages",1900,Asian," Church Street, Bangalore",Church Street,https://www.zomato.com/bangalore/flo-church-street-bangalore/info,12noon – 1am (Today),1244,4.2,4.0,28
6,7,Ouzo By Fire,"Goan, Mangalorean, Beverages",1000,Goan," Indiranagar, Bangalore",Indiranagar,https://www.zomato.com/bangalore/ouzo-by-fire-indiranagar-bangalore/info,"12noon – 3:30pm, 7pm – 12midnight (Today)",53,4.0,0.0,4
7,8,Alchemy,"North Indian, Continental, Biryani, Desserts, Bar Food, South Indian, Seafood, Beverages",3300,North Indian," The Chancery Pavilion, Residency Road, Bangalore",The Chancery Pavilion,https://www.zomato.com/bangalore/alchemy-residency-road-bangalore/info,12noon – 12midnight (Today),2991,4.2,0.0,0
8,9,Dishkeyaun,"Modern Indian, Biryani, Desserts",2000,Modern Indian," Forum Rex Walk, Bangalore",Forum Rex Walk,https://www.zomato.com/bangalore/dishkeyaun-1-brigade-road-bangalore/info,"12:30pm – 4pm, 6:30pm – 11:30pm (Today)",180,4.0,0.0,1
9,10,Farzi Cafe,"North Indian, Desserts",1900,North Indian," UB City, Bangalore",UB City,https://www.zomato.com/bangalore/farzi-cafe-lavelle-road/info,12noon – 11:45pm (Today),3710,4.2,3.7,152
10,11,Toca Koramangala,"Chinese, Fast Food, Steak, Pasta, Asian, Biryani, Desserts",1400,Chinese," Koramangala 5th Block, Bangalore",Koramangala 5th Block,https://www.zomato.com/bangalore/toca-koramangala-koramangala-5th-block-bangalore/info,11am – 12midnight (Today),486,4.1,4.0,6
11,12,Magic Mocktails Cafe,"Beverages, Pizza, Burger, Sandwich, Fast Food, Chinese, Street Food, Shake",200,Beverages," Chanapatna, Bangalore",Chanapatna,https://www.zomato.com/bangalore/magic-mocktails-cafe-2-chanapatna-bangalore/info,,0,0.0,,0
