,Resturent_id,Restaurant,Restaurant_Type,Price_For_Two,Location,Link,Timing,Dining_Review_Count,Dining_Rating,Delivery_Rating,Delivery_Review_count,Price per Person,Rating Category,Total Review Count,Popularity score,price range category
0,0,Ã–z by Kebapci,"Turkish, Mediterranean, Middle Eastern",1800," UB City, Bangalore",https://www.zomato.com/bangalore/Ã¶z-by-kebapci-lavelle-road-bangalore/info,12:30pm â€“ 12:30am (Today),819,4.5,0.0,0,900,Excellent,819,3686.5,Medium
1,1,Over Coffee Cafe & Wine Bar,"European, Italian, Continental, Cafe, Coffee",1200," Lavelle Road, Bangalore",https://www.zomato.com/bangalore/over-coffee-cafe-wine-bar-lavelle-road-bangalore/info,Opens tomorrow at 12noon,560,4.7,3.9,19,600,Excellent,579,2722.3,Medium
2,2,Babylonia - Global Food & Cocktails,"Continental, North Indian, Asian, Italian, Mughlai, Mediterranean, Bar Food, Desserts",1500," Koramangala 7th Block, Bangalore",https://www.zomato.com/bangalore/babylonia-global-food-cocktails-koramangala-7th-block-bangalore/info,12noon â€“ 12:30am (Today),"1,203",4.5,3.5,26,750,Excellent,1229,5531.5,Medium
3,3,Oney Brewhouse,"American, Continental, Italian, South Indian, North Indian, Asian, Chinese",1500," Cunningham Road, Bangalore",https://www.zomato.com/bangalore/oney-brewhouse-cunningham-road-bangalore/info,12noon â€“ 12midnight (Today),231,4.1,0.0,0,750,Good,231,948.1,Medium
4,4,Homiga,"Asian, Thai, Continental, Finger Food, Sushi, Desserts, Beverages",1500," Forum Rex Walk, Bangalore",https://www.zomato.com/bangalore/homiga-brigade-road-bangalore/info,"24 Hours, 12:30pm â€“ 4:30pm, 6:30pm â€“ 12midnight (Today)",207,4.4,0.0,0,750,Good,207,911.8,Medium
5,5,Flo,"Asian, Thai, Continental, Finger Food, Sushi, Desserts, Beverages",1900," Church Street, Bangalore",https://www.zomato.com/bangalore/flo-church-street-bangalore/info,12noon â€“ 1am (Today),"1,244",4.2,4.0,28,950,Good,1272,5343.4,Medium
6,6,Ouzo By Fire,"Goan, Mangalorean, Beverages",1000," Indiranagar, Bangalore",https://www.zomato.com/bangalore/ouzo-by-fire-indiranagar-bangalore/info,"12noon â€“ 3:30pm, 7pm â€“ 12midnight (Today)",53,4.0,0.0,4,500,Good,57,229.0,Low
7,7,Alchemy,"North Indian, Continental, Biryani, Desserts, Bar Food, South Indian, Seafood, Beverages",3300," The Chancery Pavilion, Residency Road, Bangalore",https://www.zomato.com/bangalore/alchemy-residency-road-bangalore/info,12noon â€“ 12midnight (Today),"2,991",4.2,0.0,0,1650,Good,2991,12563.2,High
8,8,Dishkeyaun,"Modern Indian, Biryani, Desserts",2000," Forum Rex Walk, Bangalore",https://www.zomato.com/bangalore/dishkeyaun-1-brigade-road-bangalore/info,"12:30pm â€“ 4pm, 6:30pm â€“ 11:30pm (Today)",180,4.0,0.0,1,1000,Good,181,725.0,Medium
9,9,Farzi Cafe,"North Indian, Desserts",1900," UB City, Bangalore",https://www.zomato.com/bangalore/farzi-cafe-lavelle-road/info,12noon â€“ 11:45pm (Today),"3,710",4.2,3.7,152,950,Good,3862,16221.4,Medium
10,10,Toca Koramangala,"Chinese, Fast Food, Steak, Pasta, Asian, Biryani, Desserts",1400," Koramangala 5th Block, Bangalore",https://www.zomato.com/bangalore/toca-koramangala-koramangala-5th-block-bangalore/info,11am â€“ 12midnight (Today),486,4.1,4.0,6,700,Good,492,2018.2,Medium
11,11,Magic Mocktails Cafe,"Beverages, Pizza, Burger, Sandwich, Fast Food, Chinese, Street Food, Shake",200," Chanapatna, Bangalore",https://www.zomato.com/bangalore/magic-mocktails-cafe-2-chanapatna-bangalore/info,,0,0.0,0.0,0,100,Below Average,0,1.0,Low
12,12,Jook Taproom,"North Indian, South Indian, Chinese, Pizza, Fast Food, Biryani, Asian, Bar Food",1600," Indiranagar, Bangalore",https://www.zomato.com/bangalore/jook-taproom-indiranagar-bangalore/info,12noon â€“ 12midnight (Today),"2,289",4.4,3.6,67,800,Good,2356,10367.4,Medium
13,13,Long Boat Brewing Co.,"Asian, Chinese, North Indian, Pizza, South Indian, Continental",2600," Marathahalli, Bangalore",https://www.zomato.com/bangalore/long-boat-brewing-co-marathahalli-bangalore/info,"12midnight â€“ 1:30am, 12noon â€“ 12midnight (Today)","7,426",4.3,4.1,"2,250",1300,Good,9676,41607.8,High
14,14,Scottish Pub,"Asian, Chinese, Burger, North Indian, Continental, Bar Food, Cafe, Pasta",1000," St. Marks Road, Bangalore",https://www.zomato.com/bangalore/scottish-pub-st-marks-road/info,12noon â€“ 12midnight (Today),505,4.4,0.0,0,500,Good,505,2223.0,Low
15,15,Oia,"Continental, Asian, Seafood, Salad, Pizza, North Indian, Desserts",2500," Hennur, Bangalore",https://www.zomato.com/bangalore/oia-3-hennur-bangalore/info,"12midnight â€“ 1am, 12noon â€“ 12midnight (Today)","8,503",4.2,0.0,0,1250,Good,8503,35713.6,High
16,16,Mannheim Craft Brewery,"South Indian, North Indian, Continental, Desserts, Asian",1500," Garuda Mall, Magrath Road, Bangalore",https://www.zomato.com/bangalore/mannheim-craft-brewery-brigade-road-bangalore/info,12noon â€“ 11pm (Today),346,4.4,0.0,0,750,Good,346,1523.4,Medium
17,17,Nusa,"North Indian, Asian, Continental, European, South Indian, Indonesian, Bar Food, Finger Food",1500," Varthur Main Road, Whitefield, Bangalore",https://www.zomato.com/bangalore/nusa-varthur-main-road-whitefield-bangalore/info,"12midnight â€“ 1am, 12noon â€“ 12midnight (Today)","3,773",3.9,0.0,0,750,Average,3773,14715.7,Medium
18,18,SkyDeck By Sherlock's,"Continental, Chinese, Finger Food, North Indian, Fast Food, Beverages, Desserts",1800," MG Road, Bangalore",https://www.zomato.com/bangalore/skydeck-by-sherlocks-mg-road-bangalore/info,11:30am â€“ 1am (Today),"4,494",4.2,0.0,0,900,Good,4494,18875.8,Medium
19,19,Ironhill Bengaluru,"North Indian, Continental, Asian, Pizza, Fast Food, Biryani, Beverages, Desserts",2000," Marathahalli, Bangalore",https://www.zomato.com/bangalore/ironhill-bengaluru-marathahalli-bangalore/info,12noon â€“ 1am (Today),32.6K,4.5,4.2,151,1000,Excellent,32751,147380.5,Medium
20,20,Citrus - The Leela Palace,"North Indian, Continental, Asian, Desserts",4700," The Leela Palace, Old Airport Road, Bangalore",https://www.zomato.com/bangalore/citrus-the-leela-palace-airport-road/info,"9am â€“ 10am, 12:30pm â€“ 11:30pm (Today)","1,060",4.0,4.2,142,2350,Good,1202,4809.0,High
21,21,Absolute Shawarma,"Shawarma, Fast Food, Burger, Pizza, Wraps, Momos, Waffle, Shake",300," Chanapatna, Bangalore",https://www.zomato.com/bangalore/absolute-shawarma-chanapatna-bangalore/info,,0,0.0,0.0,0,150,Below Average,0,1.0,Low
22,22,Geometry Brewery & Kitchen,"Chinese, North Indian, Italian, Continental, Pizza, Desserts, Beverages",1800," Malleshwaram, Bangalore",https://www.zomato.com/bangalore/geometry-brewery-kitchen-malleshwaram-bangalore/info,11:30am â€“ 1am (Today),"3,561",4.3,4.0,44,900,Good,3605,15502.5,Medium
23,23,Roxie,"Continental, Asian, North Indian, European, American, Italian, Pizza, Beverages",2600," Sarjapur Road, Bangalore",https://www.zomato.com/bangalore/roxie-sarjapur-road-bangalore/info,12noon â€“ 1am (Today),10.9K,4.6,4.3,73,1300,Excellent,10973,50476.8,High
24,24,The Terrace at Gilly's Redefined,"Continental, Finger Food, Chinese, North Indian, Italian, Beverages, Desserts",2000," Gilly's Redefined, Koramangala 4th Block, Bangalore",https://www.zomato.com/bangalore/the-terrace-at-gillys-redefined-koramangala-4th-block/info,12noon â€“ 12:30am (Today),"4,632",4.4,4.0,6,1000,Good,4638,20408.2,Medium
25,25,Prime Golf - Brewing & Golfing,"Modern Indian, Beverages",2000," Seegehalli, Bangalore",https://www.zomato.com/bangalore/prime-golf-brewing-golfing-seegehalli-bangalore/info,12noon â€“ 12midnight (Today),"1,168",4.3,0.0,0,1000,Good,1168,5023.4,Medium
26,26,KLING,"Continental, European, Asian, Chinese, North Indian, South Indian, Seafood",1500," Church Street, Bangalore",https://www.zomato.com/bangalore/kling-church-street-bangalore/info,12noon â€“ 1am (Today),217,4.2,0.0,0,750,Good,217,912.4,Medium
27,27,Byg Brewski Brewing Company,"Continental, North Indian, Asian, Fast Food, Pizza, Pasta, Burger, Desserts",2000," Sarjapur Road, Bangalore",https://www.zomato.com/bangalore/byg-brewski-brewing-company-sarjapur-road-bangalore/info,12noon â€“ 1am (Today),38.1K,4.6,4.2,27.1K,1000,Excellent,65200,299921.0,Medium
28,28,Toca Brigade,"Chinese, Fast Food, Steak, Pasta, Asian, Biryani, Desserts",1200," Brigade Road, Bangalore",https://www.zomato.com/bangalore/toca-brigade-brigade-road-bangalore/info,11am â€“ 12midnight (Today),56,4.1,0.0,0,600,Good,56,230.6,Medium
29,29,Phurr,"North Indian, Continental",2000," Jayanagar, Bangalore",https://www.zomato.com/bangalore/phurr-jayanagar-bangalore/info,"12noon â€“ 4pm, 7pm â€“ 11pm (Today)","2,136",4.4,0.0,0,1000,Good,2136,9399.4,Medium
30,30,Boho,"Continental, Asian, American, Mexican, Beverages, Desserts, Korean, Italian",2000," Building 105, Koramangala 5th Block, Bangalore",https://www.zomato.com/bangalore/boho-koramangala-5th-block/info,12noon â€“ 12midnight (Today),"3,621",4.1,2.7,17,1000,Good,3638,14916.8,Medium
31,31,Bastian,"Continental, Greek",2000," St. Marks Road, Bangalore",https://www.zomato.com/bangalore/bastian-st-marks-road-bangalore/info,"12midnight â€“ 12:30am, 12noon â€“ 4pm, 7pm â€“ 12midnight (Today)",143,0.0,0.0,0,1000,Below Average,143,1.0,Medium
32,32,Moglu - The Edgy Veggie Restaurant,"Bakery, Modern Indian, Desserts, Beverages, American, Coffee, Sandwich, Pasta",1800," St. Marks Road, Bangalore",https://www.zomato.com/bangalore/moglu-the-edgy-veggie-restaurant-st-marks-road-bangalore/info,11:30am â€“ 11:30pm (Today),128,3.9,0.0,0,900,Average,128,500.2,Medium
33,33,Magique,"Asian, Modern Indian, Continental, Italian, North Indian, Sushi, Desserts, Beverages",1700," Koramangala 6th Block, Bangalore",https://www.zomato.com/bangalore/magique-koramangala-6th-block-bangalore/info,"12midnight â€“ 1am, 12noon â€“ 12midnight (Today)","4,309",4.1,4.0,10,850,Good,4319,17708.9,Medium
34,34,Ambedo Kitchen|Taproom,"Continental, Asian, North Indian, Italian, Pizza, Sushi",1500," JP Nagar, Bangalore",https://www.zomato.com/bangalore/ambedo-kitchen-taproom-jp-nagar-bangalore/info,12noon â€“ 12midnight (Today),556,4.5,4.0,10,750,Excellent,566,2548.0,Medium
35,35,BLR Brewing Co,"North Indian, Continental, Chinese, Italian, BBQ, Bar Food, Desserts",1500," Whitefield, Bangalore",https://www.zomato.com/bangalore/blr-brewing-co-1-whitefield-bangalore/info,12noon â€“ 12midnight (Today),"5,059",4.4,0.0,0,750,Good,5059,22260.6,Medium
36,36,Bhangra Bistro,"North Indian, Mughlai, Desserts",1000," Indiranagar, Bangalore",https://www.zomato.com/bangalore/bhangra-bistro-indiranagar-bangalore/info,"12noon â€“ 4pm, 7pm â€“ 12midnight (Today)",148,4.5,0.0,3,500,Excellent,151,680.5,Low
37,37,Secret Story,"Continental, Asian, North Indian, Fast Food, Desserts, Beverages, Vietnamese, Italian",1500," Indiranagar, Bangalore",https://www.zomato.com/bangalore/secret-story-indiranagar-bangalore/info,12noon â€“ 1am (Today),"3,964",3.9,0.0,0,750,Average,3964,15460.6,Medium
